"Name","Purpose","Quantity","Total Cost (USD)","Link","Distributor"
"Rocket 3670 brushless rc boat motor ","The Main Motor","1","36","https://robu.in/product/rocket-3670-brushless-rc-boat-motor-4pole-%ef%bf%a05-0mm-black-1550-kv/","Robu"
"Water Cooling Jacket for RC Boat Brushless Motor","To cool the motor from overheating","1","13","https://www.amazon.in/MERISHOPP-2xMetal-Brushless-Educational-Learning/dp/B0FQCK9XJG","Amazon"
"80A Bidirectional Water-Cooled ESC 2-6S","To run the Motor","1","28","https://evelta.com/50a-60a-80a-bidirectional-water-cooled-esc-2-6s-ubec-5a-5v-for-rc-ship-underwater-propeller/?sku=447-E-125&utm_source=google&utm_campaign=20308067004&utm_medium=cpc&utm_content=&utm_term=&gad_source=1&gad_campaignid=20317564702&gbraid=0AAAAADwtsXmo53rz7LWBv-uj4AV8nKd2S&gclid=Cj0KCQjwsMLSBhD9ARIsAIpUTDomlicWc6enBCFi0PWi6F1YlRcNmjAL58dvPqkJFj2F9PLMuYWBf3QaAiZyEALw_wcB","Evelta"
"RC Boat Rudder with Absoring Water Pickup","For the Boat Movement ","1","13","https://www.amazon.in/SNAPPSY%C2%AE-Control-Absoring-Vehicle-Accessories/dp/B0GF7ZSJV9","Amazon"
" RC Ship Drive Shaft+Motor Coupler","For the Boat Movement ","1","17","https://www.amazon.in/Enakshi%C2%AE-Coupler-Propeller-Hobbies-Vehicle/dp/B0FR44DW2N","Amazon"
"RC Boat Flex Shaft Prop","For the Boat Movement ","1","20","https://www.amazon.in/ZDingTech-UDI005-09-UDI005-Upgrade-Propellers/dp/B0CDL9DS27/ref=sr_1_36?crid=2AOMOLYI2JLGW&dib=eyJ2IjoiMSJ9.rNDWmjzC3CjvImpmHRVV0Cgw0JBbuex1zweuk-imKMUr1xv8__U1vS3i__XBYatTLqn5pR8itbksPF9GUyXxP6PBcNsEoMAJTOBkRrPodzI8onKeaH-uj9pvzetWEoLN7U_6UBvJzCa_GblAzZK9OZ-7biPNJzWoZEF79cSWNPyehOwKJgZJzsr2l9rjiOEUBnsY6lC2br_ctjx2aJH0-A.iecZFz1Qmy2JcFfeKAVGkRl9HcIeQAyuv4d6iZkPKBY&dib_tag=se&keywords=rc%2Bboat%2Bdrive%2Bshaft%2Bset%2B4mm%2Bdrive%2Bflexible%2Bshaft%2Bstrut%2B%2B%2B95mm%2Brudder%2B%2B%2B35mm%2Bpropeller%2B%2B%2Bturn%2Bfins%2Bturn%2Btabs%2Bkits&nsdOptOutParam=true&qid=1783740129&s=toys&sprefix=%2Ctoys%2C271&xpid=R-5DL7jKSig9B&th=1","Amazon"
"Pro- Range 22.2V 4200mAh 35C 6S Lithium Polymer Battery","To power the whole circuit","1","59.2","https://robu.in/product/orange-4200mah-6s-40c80c-lithium-polymer-battery-pack-lipo/","Robu"
"Digital Waterproof 20KG 270 Degree DC Servo","For Rudder Movement","1","22","https://robu.in/product/digital-waterproof-20kg-270-degree-dc-servo/","Robu"
"IMAX B6 80W 6A Charger/Discharger","To charge the battery","1","19.1","https://robu.in/product/imax-b6-80w-6a-charger-discharger-1-6-cells/?gad_source=1&gad_campaignid=17427802559&gbraid=0AAAAADvLFWeO6FMeHJ2T_WrJi-vOXTmqY&gclid=Cj0KCQjwsMLSBhD9ARIsAIpUTDr-3yqdFukxLp-Xy_-UQXyzTZT8R03PALd-swdhlAxpybOMN36GimEaAu-AEALw_wcB","Robu"
"CT-8A Transmitter+F-08A Receiver(PWM)","To Control the boat","1","34","https://robu.in/product/ct-8a-transmitterf-08a-receiverpwm/","Robu"
"Silicon Carbide Scratch Filler Putty Grey ","To hide the layer lines of the 3d Print and to make the surface smooth","1","3","https://www.amazon.in/VAI-Silicon-Carbide-Sandpaper-Scratches/dp/B0DRT95YYG/ref=sr_1_5?adgrpid=198415552724&dib=eyJ2IjoiMSJ9.-csfFUoVlS8IkFjN8FnDabfuy-cjbcpRaPstXGGL1OSuHIjTI0ke5FRWq9x3LYwfuapkJbrgiIkyfzgfjN6o2pJXNkncIwBA8tXHMcHJUpGvL0RJpFewZhhSj9qVNykRdyTxFuEJWcpKE2qBsNriQc54KNXxI-g9WIkrZlINV65A9v7Kb-cYs9_Zx85PPKaP8g3WBgekacnEIlGQp3VMIyF4eLUMY_DT-DJ63XN519CeX-PlQ1bQyTaSm2jt60hh_z5ArULRkf-j5NKWi-galR-SUF685oxaTKjCZj6BXKM.JhvV89qzv85KpKclTaYaNLcpEgO7nDXu1jBzU7lsjVA&dib_tag=se&gad_source=1&hvadid=809792751592&hvdev=c&hvexpln=0&hvlocphy=9301294&hvnetw=g&hvocijid=3905095299188814359--&hvqmt=e&hvrand=3905095299188814359&hvtargid=kwd-828074322419&hydadcr=26431_2762331&keywords=3d+print+filler+putty&mcid=ddf17c5e4f6d3aa9bc17991dbfd5774d&qid=1783742179&sr=8-5","Amazon"
"Epoxy Resin and Hardener ","To make the boat water proof","1","2.99","https://www.amazon.in/DYNAMIC-EDGE-Hardener-Long-Lasting-Non-Toxic/dp/B0CWZ8G5CM/ref=asc_df_B0CWZ8G5CM?mcid=5540fa397f203b439c5e5de1205a4ae8&tag=googleshopdes-21&linkCode=df0&hvadid=709963085741&hvpos=&hvnetw=g&hvrand=540654578755941725&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9301294&hvtargid=pla-2294101042708&psc=1&hvocijid=540654578755941725-B0CWZ8G5CM-&hvexpln=0&gad_source=1","Amazon"
"Carbon Fiber Fabric 30x100cm","To make the frame strong","1","10.5","https://www.amazon.in/carbonblack-composites-genuine-carbon-fabric/dp/B07QF46HPG/ref=srd_d_vsims_d_sccl_1_3/521-2691873-1582521?pd_rd_w=JikL8&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=WK18GB1AEJDXQ0BDQAPA&pd_rd_wg=9BVV3&pd_rd_r=e70f6ccf-f27c-4339-a257-0efc92b2b88c&pd_rd_i=B07QF46HPG&th=1","Amazon"
"Clear Coat","To make the paint stay at the body ","1","2.2","https://www.amazon.in/Nippon-Paint-Pylac-Spray-RS-Clear/dp/B01GKBXW2A/ref=sr_1_2_sspa?crid=3QLLSSD5FC3GY&dib=eyJ2IjoiMSJ9.Vl82MsLGIKe_hCKiC3au-QfP31SptdVHSjl1awmuz0YINxrdDOjGfyZFP_o4lRIEBhLZ5ACf38nDycEVhYp35zLQhX0HZOGjhacOzI5ctJ732g2bEGmWAdY8uQ_ORpl9IHYgKMvuIedb1m6g7ozPSxPD9iCee7ZRIDTpTDifs3EtRrYYBsyaF5BfJ-Ko9pG5jK-OmaRFgFeWZdEz-tybiuKtQTJ9WH1Wxf6IziveQqZT3qrh_NgEQ2AQVrBP8TgXm6joynFyBdC7igxGpCI0buWxWtcAUQnlLPLhDrFiAcI.O7ZDJNdTV0vjbSLoO6g7LsXI1AC6UM04VoPjq3BuumI&dib_tag=se&keywords=clear%2Bcoat%2Bspray%2Bpaint%2Bfor%2Bbike&qid=1783743758&sprefix=clear%2Bcoat%2Bsp%2Caps%2C292&sr=8-2-spons&aref=mQPut7ZXos&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1","Amazon"
"Spray Paint Colour","For the boat","1","2.2","https://www.amazon.in/Asian-Paints-ezyCR8-Apcolite-Spray/dp/B0FK4SN4KF/ref=asc_df_B0FK4SN4KF?mcid=e4589ed26a5734c9afb790c57e249174&tag=googleshopdes-21&linkCode=df0&hvadid=710150095583&hvpos=&hvnetw=g&hvrand=17342910943172119845&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9301294&hvtargid=pla-2465759320067&psc=1&hvocijid=17342910943172119845-B0FK4SN4KF-&hvexpln=0&gad_source=1","Amazon"
"PCB(moq5)","For the water quality monitor","5","4","https://jlcpcb.com/","JLCPCB"
"Tax","","","3.3","",""
"Shipping Charges","Incl. PCB","","14.2","",""
"Total","","","303","",""
"Round Off Total","Dollar rate fluctuation ","305","","",""
